CaseID,ActivityID,CompleteTimestamp
173691,3,2011-10-01 19:43:13
173691,3,2011-10-01 22:35:48
173691,5,2011-10-01 22:36:25
173691,5,2011-10-04 00:56:21
173691,5,2011-10-04 00:57:16
173691,5,2011-10-10 18:14:45
173691,6,2011-10-10 19:30:54
173691,6,2011-10-10 22:14:13
173691,6,2011-10-10 22:17:34
173709,3,2011-10-01 18:27:07
173709,3,2011-10-01 19:43:02
173709,3,2011-10-11 01:43:13
173709,3,2011-11-01 18:15:08
173712,1,2011-10-01 18:10:25
173712,3,2011-10-01 21:03:35
173712,3,2011-10-03 19:17:29
173712,3,2011-10-03 22:42:55
173718,3,2011-10-01 18:44:43
173718,5,2011-10-01 18:44:58
173718,5,2011-10-01 18:46:56
173718,5,2011-10-01 18:50:20
173718,5,2011-10-01 18:50:34
173718,5,2011-10-09 00:31:37
173718,5,2011-10-10 18:55:07
173718,6,2011-10-13 20:36:12
173718,4,2011-10-13 21:05:42
173718,4,2011-10-13 21:53:16
173718,4,2011-10-14 01:12:01
173718,4,2011-10-14 01:14:13
173718,4,2011-10-14 01:14:26
173718,4,2011-10-15 23:17:31
173718,4,2011-10-16 00:56:14
173718,4,2011-10-17 21:32:51
173718,4,2011-10-17 22:28:36
173718,4,2011-10-19 00:46:24
173718,4,2011-10-19 01:46:34
173718,6,2011-10-19 16:53:21
173718,4,2011-10-19 17:17:01
173718,4,2011-10-19 17:24:19
173718,4,2011-10-20 17:30:32
173718,4,2011-10-24 23:24:55
173718,4,2011-10-26 16:12:38
173718,6,2011-10-27 17:18:01
173721,3,2011-10-01 19:20:50
173721,5,2011-10-01 19:22:52
173721,5,2011-10-01 19:32:54
173721,5,2011-10-04 22:47:39
173721,5,2011-10-06 17:49:47
173721,6,2011-10-10 18:06:09
173721,4,2011-10-10 18:20:04
173721,4,2011-10-10 19:42:32
173721,4,2011-10-10 22:22:14
173721,4,2011-10-11 00:28:29
173724,1,2011-10-01 20:12:27
173724,1,2011-10-01 20:20:55
173724,3,2011-10-01 21:27:08
173724,3,2011-10-01 22:02:01
173724,3,2011-10-01 23:15:17
173724,3,2011-10-03 19:33:42
173724,3,2011-10-03 23:48:20
173730,3,2011-10-01 21:55:31
173730,3,2011-10-01 23:15:12
173730,3,2011-10-01 23:31:19
173730,3,2011-10-01 23:40:12
173730,5,2011-10-01 23:48:39
173730,5,2011-10-09 00:20:20
173730,5,2011-10-11 04:49:26
173730,5,2011-10-11 18:47:04
173730,5,2011-10-12 03:55:07
173730,5,2011-10-12 23:37:20
173730,5,2011-10-14 02:35:43
173730,5,2011-10-14 18:21:10
173730,6,2011-10-19 21:20:05
173730,4,2011-10-19 21:32:57
173730,4,2011-10-19 21:36:44
173730,4,2011-10-20 03:11:47
173730,4,2011-10-20 16:10:36
173730,6,2011-10-20 18:08:56
173730,4,2011-10-20 18:27:48
173730,4,2011-10-20 18:45:06
173730,6,2011-10-20 20:00:47
173730,4,2011-10-20 20:32:33
173730,4,2011-10-20 21:52:22
173730,4,2011-10-21 00:25:42
173730,6,2011-10-21 14:15:05
173730,6,2011-10-21 17:05:10
173730,6,2011-10-21 17:08:21
173733,1,2011-10-01 22:54:56
173739,3,2011-10-01 23:27:27
173739,3,2011-10-01 23:42:01
173739,3,2011-10-01 23:56:43
173739,5,2011-10-02 00:00:21
173739,5,2011-10-08 23:32:48
173739,5,2011-10-11 18:19:14
173739,6,2011-10-13 21:12:26
173739,6,2011-10-13 23:04:19
173739,4,2011-10-14 04:01:47
173739,4,2011-10-14 18:06:41
173739,4,2011-10-14 21:19:58
173739,4,2011-10-14 21:37:05
173739,4,2011-10-14 22:05:18
173739,4,2011-10-14 23:49:18
173739,6,2011-10-15 00:22:55
173748,1,2011-10-01 23:24:17
