CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard
5313975,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5314766,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5318961,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5320594,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5325670,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5327966,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5342369,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5343209,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5359608,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5367672,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5376987,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5377651,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5712830,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5733082,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5736255,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5736755,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5746246,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5768313,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5771438,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5772892,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5781959,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5790328,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5792647,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5802698,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5805078,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5805196,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5805909,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5808114,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5810626,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5817005,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5818846,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5829130,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5831246,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5838789,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5841335,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
5843747,2,b'\xc2\xba',b'\xc2\xba',1.0,1.0,1.0,,,
